MAINE (territory),"228,705","228,705",969,"12,515","21,464","21,290","17,827","39,131","13,291","22,079","20,403","18,463","41,273","227,736","112,227","115,509",0
MARYLAND,"380,546","269,044","33,927","14,154","22,908","23,875","17,833","36,137","15,165","25,255","22,688","18,489","38,613","235,117","114,907","120,210","111,502"
MASSACHUSETTS,"472,040","472,040","6,737","39,894","49,229","46,366","33,191","66,881","34,976","45,854","45,018","34,964","68,930","465,303","235,561","229,742",0
NEW HAMPSHIRE,"214,460","183,660",970,"15,204","21,940","20,792","17,259","32,313","14,462","20,531","18,865","17,840","34,284","182,690","107,508","75,182",0
NEW JERSEY,"245,562","234,711","7,843","15,109","21,359","21,194","17,787","36,062","16,004","21,394","21,231","18,914","37,814","226,868","111,511","115,357","10,851"
NEW YORK,"959,049","944,032","25,333","46,718","85,805","85,139","68,811","157,945","53,985","94,882","85,779","73,702","165,933","918,699","444,418","474,281","15,017"
NORTH CAROLINA,"555,500","386,676","10,266","20,427","33,944","37,933","30,053","65,421","21,189","34,456","34,630","30,321","68,036","376,410","187,778","188,632","168,824"
OHIO,"230,760","230,760","1,899","8,717","19,436","19,990","16,869","44,192","11,965","22,761","20,189","18,119","46,623","228,861","109,204","119,657",0
PENNSYLVANIA,"810,019","809,296","22,492","45,740","70,826","75,960","60,943","131,769","52,100","74,193","74,203","62,606","138,464","786,804","385,238","401,566",795
RHODE ISLAND,"76,931","76,823","3,609","6,372","7,635","7,520","5,389","10,555","5,439","6,765","7,250","5,554","10,735","73,214","37,471","35,743",108
SOUTH CAROLINA,"415,115","218,750","4,554","10,926","18,974","20,583","16,629","37,497","11,304","20,488","20,933","17,193","39,669","214,196","104,609","109,587","196,365"
TENNESSEE,"261,727","217,192","1,317","8,485","17,624","19,864","16,329","41,810","10,656","19,957","19,486","17,170","44,494","215,875","104,112","111,763","44,535"
VERMONT,"217,913","217,913",750,"11,457","20,792","21,181","17,339","36,613","13,053","20,641","19,678","18,347","38,082","216,963","107,382","109,581",0
VIRGINIA,"974,622","582,104","30,570","32,512","51,163","54,899","42,207","90,715","35,302","52,567","51,473","42,919","97,777","551,534","271,496","280,038","392,518"
   ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Add or Remove Topics,Create Proportions:,,,,,,,,,,,,,,,,
Add New Topics:,Select Numerator:,,,,,,,,,,,,,,,,
,  total population  total free persons  all other free persons  free white females 45 years of age and over  free white females 26-44 years of age  free white females 16-25 years of age  free white females 10-15 years of age  free white females under ten years of age  free white males 45 years of age and over  free white males 26-44 years of age  free white males 16-25 years of age  free white males 10-15 years of age  free white males under ten years of age  free whites  free white females  free white males  slaves ,,,,,,,,,,,,,,,,
Delete Topics from this list:,,,,,,,,,,,,,,,,,
  total population  total free persons  all other free persons  free white females 45 years of age and over  free white females 26-44 years of age  free white females 16-25 years of age  free white females 10-15 years of age  free white females under ten years of age  free white males 45 years of age and over  free white males 26-44 years of age  free white males 16-25 years of age  free white males 10-15 years of age  free white males under ten years of age  free whites  free white females  free white males  slaves ,,,,,,,,,,,,,,,,,
Select Denominator:,,,,,,,,,,,,,,,,,
 total population  total free persons  all other free persons  free white females 45 years of age and over  free white females 26-44 years of age  free white females 16-25 years of age  free white females 10-15 years of age  free white females under ten years of age  free white males 45 years of age and over  free white males 26-44 years of age  free white males 16-25 years of age  free white males 10-15 years of age  free white males under ten years of age  free whites  free white females  free white males  slaves ,,,,,,,,,,,,,,,,,
Sort Data by:,,,,,,,,,,,,,,,,,
State Name (default) total population  total free persons  all other free persons  free white females 45 years of age and over  free white females 26-44 years of age  free white females 16-25 years of age  free white females 10-15 years of age  free white females under ten years of age  free white males 45 years of age and over  free white males 26-44 years of age  free white males 16-25 years of age  free white males 10-15 years of age  free white males under ten years of age  free whites  free white females  free white males  slaves ,,,,,,,,,,,,,,,,,
Ascending  Descending,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
University of Virginia Library,,,,,,,,,,,,,,,,,
"PO Box 400113, Charlottesville, VA 22904-4113",,,,,,,,,,,,,,,,,
"ph: (434) 924-3021, fax: (434) 924-1431, library@virginia.edu",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Libraries | Depts./Contacts | U.Va. Home | ITC,,,,,,,,,,,,,,,,,
Website Feedback | Search | Questions? Ask a Librarian | Hours | Map | Policies | Press | Jobs,,,,,,,,,,,,,,,,,
© 2007 by the Rector and Visitors of the University of Virginia,,,,,,,,,,,,,,,,,
